"","x"
"TCGA-BH-A0DG-01A-21R-A12P-07",-1
"TCGA-BH-A0BW-01A-11R-A115-07",-1
"TCGA-BH-A0B7-11A-34R-A115-07",1
"TCGA-E9-A1RB-11A-33R-A157-07",1
"TCGA-BH-A0BC-11A-22R-A089-07",1
"TCGA-BH-A1EN-11A-23R-A13Q-07",1
"TCGA-BH-A0B8-11A-41R-A089-07",1
"TCGA-BH-A0DV-11A-22R-A12P-07",1
"TCGA-BH-A0DO-01B-11R-A12D-07",-1
"TCGA-E9-A1RB-01A-11R-A157-07",-1
"TCGA-BH-A1F0-01A-11R-A137-07",-1
"TCGA-A7-A13F-01A-11R-A12P-07",-1
"TCGA-BH-A0B3-11B-21R-A089-07",1
"TCGA-BH-A1F8-11B-21R-A13Q-07",1
"TCGA-BH-A0DZ-01A-11R-A00Z-07",-1
"TCGA-BH-A18N-01A-11R-A12D-07",-1
"TCGA-BH-A0C0-11A-21R-A089-07",1
"TCGA-A7-A0CH-01A-21R-A00Z-07",-1
"TCGA-BH-A1FU-01A-11R-A14D-07",-1
"TCGA-BH-A1EU-11A-23R-A137-07",1
"TCGA-E2-A1LS-01A-12R-A157-07",-1
"TCGA-E9-A1ND-11A-43R-A144-07",1
"TCGA-E9-A1RD-11A-33R-A157-07",1
"TCGA-BH-A0DZ-11A-22R-A089-07",1
"TCGA-BH-A0AU-11A-11R-A12P-07",1
"TCGA-E9-A1RH-01A-21R-A169-07",-1
"TCGA-BH-A1F8-01A-11R-A13Q-07",-1
"TCGA-BH-A18P-11A-43R-A12D-07",1
"TCGA-E2-A1LH-11A-22R-A14D-07",1
"TCGA-AC-A2FF-01A-11R-A17B-07",-1
"TCGA-BH-A1ET-01A-11R-A137-07",-1
"TCGA-BH-A18Q-11A-34R-A12D-07",1
"TCGA-BH-A1FG-01A-11R-A13Q-07",-1
"TCGA-BH-A1FU-11A-23R-A14D-07",1
"TCGA-GI-A2C9-01A-11R-A21T-07",-1
"TCGA-E9-A1RF-11A-32R-A157-07",1
"TCGA-E9-A1RI-01A-11R-A169-07",-1
"TCGA-A7-A0DB-01A-11R-A00Z-07",-1
"TCGA-BH-A0BV-01A-11R-A00Z-07",-1
"TCGA-E2-A1LS-11A-32R-A157-07",1
"TCGA-E2-A1BC-11A-32R-A12P-07",1
"TCGA-E9-A1RI-11A-41R-A169-07",1
"TCGA-BH-A0DD-01A-31R-A12P-07",-1
"TCGA-BH-A18U-01A-21R-A12D-07",-1
